celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week1_judge_score_sum,week1_judge_count,week1_judge_score_avg,week1_judge_score_avg_rank,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week2_judge_score_sum,week2_judge_count,week2_judge_score_avg,week2_judge_score_avg_rank,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week3_judge_score_sum,week3_judge_count,week3_judge_score_avg,week3_judge_score_avg_rank,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week4_judge_score_sum,week4_judge_count,week4_judge_score_avg,week4_judge_score_avg_rank,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week5_judge_score_sum,week5_judge_count,week5_judge_score_avg,week5_judge_score_avg_rank,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week6_judge_score_sum,week6_judge_count,week6_judge_score_avg,week6_judge_score_avg_rank,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week7_judge_score_sum,week7_judge_count,week7_judge_score_avg,week7_judge_score_avg_rank,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week8_judge_score_sum,week8_judge_count,week8_judge_score_avg,week8_judge_score_avg_rank,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week9_judge_score_sum,week9_judge_count,week9_judge_score_avg,week9_judge_score_avg_rank,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week10_judge_score_sum,week10_judge_count,week10_judge_score_avg,week10_judge_score_avg_rank,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week11_judge_score_sum,week11_judge_count,week11_judge_score_avg,week11_judge_score_avg_rank
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7,7,7,N/A,21,3,7,5,7,7,7,N/A,21,3,7,5,9,8,9,N/A,26,3,8.6667,4,8,10,9,N/A,27,3,9,2,8,9,8,N/A,25,3,8.3333,5,9,9,9,N/A,27,3,9,3,8.5,8.5,9.5,N/A,26.5,3,8.8333,2,8.5,8.5,8,N/A,25,3,8.3333,4,9.5,10,9.5,N/A,29,3,9.6667,3,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6,6,6,N/A,18,3,6,11,7,7,7,N/A,21,3,7,5,7,7,7,N/A,21,3,7,8,7,8,8,N/A,23,3,7.6667,8,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6,5,5,N/A,16,3,5.3333,12,0,0,0,N/A,0,3,0,12,0,0,0,N/A,0,3,0,11,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7,7,7,N/A,21,3,7,5,7,7,7,N/A,21,3,7,5,0,0,0,N/A,0,3,0,11,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Helio Castroneves,Julianne Hough,Racing Driver,Brazil,Brazil,32,5,1st Place,1,8,9,8,N/A,25,3,8.3333,2,9,9,9,N/A,27,3,9,1,8,8,8,N/A,24,3,8,6,9,9,9,N/A,27,3,9,2,8,7,8,N/A,23,3,7.6667,6,9,10,9,N/A,28,3,9.3333,2,9,8.5,8.5,N/A,26,3,8.6667,3,9.5,9.5,9.5,N/A,28.5,3,9.5,1,10,10,10,N/A,30,3,10,1,9,9.3333,9.6666,N/A,27.999900000000004,3,9.3333,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mel B,Maksim Chmerkoskiy,Singer/Rapper,England,England,32,5,2nd Place,2,8,8,8,N/A,24,3,8,3,7,8,8,N/A,23,3,7.6667,4,9,9,9,N/A,27,3,9,1,8,9,9,N/A,26,3,8.6667,5,10,9,10,N/A,29,3,9.6667,1,10,10,10,N/A,30,3,10,1,9,9,9,N/A,27,3,9,1,9,9.5,9.5,N/A,28,3,9.3333,2,10,10,10,N/A,30,3,10,1,9.3333,9.3333,9.6666,N/A,28.333199999999998,3,9.4444,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6,7,6,N/A,19,3,6.3333,10,5,5,5,N/A,15,3,5,11,6,6,6,N/A,18,3,6,10,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,7,7,7,N/A,21,3,7,5,8,8,8,N/A,24,3,8,3,9,8,9,N/A,26,3,8.6667,4,9,9,8,N/A,26,3,8.6667,5,7,7,7,N/A,21,3,7,7,8,8,7,N/A,23,3,7.6667,6,9,8.5,8.5,N/A,26,3,8.6667,3,8,8.5,8,N/A,24.5,3,8.1667,5,9.5,9.5,9,N/A,28,3,9.3333,4,8,7.5,7.5,N/A,23,3,7.6667,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,7,7,7,N/A,21,3,7,5,6,6,6,N/A,18,3,6,10,6,7,7,N/A,20,3,6.6667,9,7,8,7,N/A,22,3,7.3333,9,7,7,7,N/A,21,3,7,7,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cristian de la Fuente,Cheryl Burke,Actor/Actress,Chile,Chile,34,6,3rd Place,3,7,7,7,N/A,21,3,7,6,7,6,7,N/A,20,3,6.6667,8,8,8,9,N/A,25,3,8.3333,3,9,8,9,N/A,26,3,8.6667,4,7,8,8,N/A,23,3,7.6667,5,9,9,9,N/A,27,3,9,3,7.5,7.5,8,N/A,23,3,7.6667,6,10,9,9.5,N/A,28.5,3,9.5,1,9.5,9,9.5,N/A,28,3,9.3333,2,9,8,9,N/A,26,3,8.6667,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6,6,6,N/A,18,3,6,8,6,5,5,N/A,16,3,5.3333,11,7,7,7,N/A,21,3,7,6,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,8,8,8,N/A,24,3,8,2,7,7,7,N/A,21,3,7,6,8,9,9,N/A,26,3,8.6667,2,7,7,8,N/A,22,3,7.3333,8,7,7,7,N/A,21,3,7,8,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,7,7,8,N/A,22,3,7.3333,4,8,8,8,N/A,24,3,8,4,7,7,7,N/A,21,3,7,6,8,8,8,N/A,24,3,8,5,7,7,8,N/A,22,3,7.3333,7,7,7,7,N/A,21,3,7,7,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7,7,7,N/A,21,3,7,6,8,8,8,N/A,24,3,8,4,8,8,8,N/A,24,3,8,4,9,10,9,N/A,28,3,9.3333,3,8,8,7,N/A,23,3,7.6667,5,8,8,8,N/A,24,3,8,5,8.5,8.5,8.5,N/A,25.5,3,8.5,4,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,6,6,6,N/A,18,3,6,8,7,7,7,N/A,21,3,7,6,6,7,6,N/A,19,3,6.3333,10,8,8,8,N/A,24,3,8,5,8,8,8,N/A,24,3,8,4,9,8,9,N/A,26,3,8.6667,4,9,8.5,8.5,N/A,26,3,8.6667,3,8.5,8,8.5,N/A,25,3,8.3333,5,8.5,9,8.5,N/A,26,3,8.6667,4,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,7,8,7,N/A,22,3,7.3333,4,9,9,9,N/A,27,3,9,1,8,7,8,N/A,23,3,7.6667,5,10,9,10,N/A,29,3,9.6667,1,9,9,9,N/A,27,3,9,2,8,8,8,N/A,24,3,8,5,9.5,8.5,9.5,N/A,27.5,3,9.1667,1,9,8,9,N/A,26,3,8.6667,4,9,9.5,9,N/A,27.5,3,9.1667,3,9.5,9.5,9.5,N/A,28.5,3,9.5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,9,9,9,N/A,27,3,9,1,9,9,9,N/A,27,3,9,1,9,9,9,N/A,27,3,9,1,10,9,10,N/A,29,3,9.6667,1,9,10,10,N/A,29,3,9.6667,1,10,10,10,N/A,30,3,10,1,9.5,8,9.5,N/A,27,3,9,2,8.5,9.5,9.5,N/A,27.5,3,9.1667,2,9.5,9,10,N/A,28.5,3,9.5,1,10,10,10,N/A,30,3,10,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Monica Seles,Jonathan Roberts,Athlete,Yugoslavia,Yugoslavia,34,6,Eliminated Week 2,11,5,5,5,N/A,15,3,5,11,5,5,5,N/A,15,3,5,12,0,0,0,N/A,0,3,0,11,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5,6,5,N/A,16,3,5.3333,10,6,6,5,N/A,17,3,5.6667,10,0,0,0,N/A,0,3,0,11,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5,5,5,N/A,15,3,5,11,6,7,6,N/A,19,3,6.3333,9,7,7,7,N/A,21,3,7,6,6,7,6,N/A,19,3,6.3333,9,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8,8,8,N/A,24,3,8,2,9,8,9,N/A,26,3,8.6667,3,7,6,8,N/A,21,3,7,6,8,7,9,N/A,24,3,8,5,9,9,9,N/A,27,3,9,2,9,9,10,N/A,28,3,9.3333,2,8.5,8.5,8.5,N/A,25.5,3,8.5,4,9,8.5,9,N/A,26.5,3,8.8333,3,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6,6,6.5,N/A,18.5,3,6.1667,8,0,0,0,N/A,0,3,0,12,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6,5,5,N/A,16,3,5.3333,12,5,5,5,N/A,15,3,5,11,6,5,5,N/A,16,3,5.3333,9,8,7,7,N/A,22,3,7.3333,5,7,7,7,N/A,21,3,7,7,5,5,5,N/A,15,3,5,7,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6,6,6.5,N/A,18.5,3,6.1667,8,7,7,7,N/A,21,3,7,4,7,7,7,N/A,21,3,7,6,8,8,8,N/A,24,3,8,3,7,7,8,N/A,22,3,7.3333,5,8,8,7,N/A,23,3,7.6667,4,8,8,8,N/A,24,3,8,4,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7,6.5,7,N/A,20.5,3,6.8333,6,7,7,7,N/A,21,3,7,4,7,7,7,N/A,21,3,7,6,7,8,8,N/A,23,3,7.6667,4,10,9,9,N/A,28,3,9.3333,2,8,8,7,N/A,23,3,7.6667,4,8,7,7,N/A,22,3,7.3333,5,8,8,8,N/A,24,3,8,4,8,7.5,7.5,N/A,23,3,7.6667,4,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6.5,7.5,7,N/A,21,3,7,5,7,7,7,N/A,21,3,7,4,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,N/A,19.5,3,6.5,7,7,6,6,N/A,19,3,6.3333,8,8,8,8,N/A,24,3,8,3,6,7,7,N/A,20,3,6.6667,8,9,9,9,N/A,27,3,9,3,7,7,7,N/A,21,3,7,6,8,9,8,N/A,25,3,8.3333,2,8,8,8,N/A,24,3,8,4,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7,7,7.5,N/A,21.5,3,7.1667,3,8,8,8,N/A,24,3,8,1,9,8,8,N/A,25,3,8.3333,2,8,7,7,N/A,22,3,7.3333,5,8,8,9,N/A,25,3,8.3333,4,8,9,8,N/A,25,3,8.3333,3,7,7,7,N/A,21,3,7,6,9.5,8.5,9,N/A,27,3,9,2,8.5,8,8,N/A,24.5,3,8.1667,2,9,9.5,9,N/A,27.5,3,9.1667,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4,4,4,N/A,12,3,4,13,0,0,0,N/A,0,3,0,12,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7.5,7,8,N/A,22.5,3,7.5,2,7,8,8,N/A,23,3,7.6667,3,8,7,7,N/A,22,3,7.3333,4,7,7,8,N/A,22,3,7.3333,5,7,7,8,N/A,22,3,7.3333,5,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7.5,6,8,N/A,21.5,3,7.1667,3,7,6,7,N/A,20,3,6.6667,7,8,7,7,N/A,22,3,7.3333,4,9,8,9,N/A,26,3,8.6667,1,7,7,7,N/A,21,3,7,7,9,9,9,N/A,27,3,9,1,9,7,9,N/A,25,3,8.3333,2,8.5,7.5,9,N/A,25,3,8.3333,3,10,9,9.5,N/A,28.5,3,9.5,1,9,9,9.5,N/A,27.5,3,9.1667,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,6,6.5,6,N/A,18.5,3,6.1667,8,6,6,5,N/A,17,3,5.6667,9,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,6,5.5,6,N/A,17.5,3,5.8333,11,5,6,5,N/A,16,3,5.3333,10,7,7,6,N/A,20,3,6.6667,8,6,6,6,N/A,18,3,6,9,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8,8,8.5,N/A,24.5,3,8.1667,1,8,8,8,N/A,24,3,8,1,9,10,9,N/A,28,3,9.3333,1,9,8,9,N/A,26,3,8.6667,1,10,9,10,N/A,29,3,9.6667,1,8,10,8,N/A,26,3,8.6667,2,10,10,10,N/A,30,3,10,1,9.5,8.5,9.5,N/A,27.5,3,9.1667,1,8,8.5,8,N/A,24.5,3,8.1667,2,10,10,10,N/A,30,3,10,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gilles Marini,Cheryl Burke,Actor/Actress,France,France,33,8,2nd Place,2,8,8,8,N/A,24,3,8,1,9,9,9,N/A,27,3,9,1,9,9,9,N/A,27,3,9,1,10,10,10,N/A,30,3,10,1,10,9,10,N/A,29,3,9.6667,1,9,8,9,N/A,26,3,8.6667,3,9,9,9,N/A,27,3,9,3,9,9,9.5,N/A,27.5,3,9.1667,2,9.5,9,9.5,N/A,28,3,9.3333,2,10,10,10,N/A,30,3,10,1,9.5,10,9.5,N/A,29,3,9.6667,2
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,6,6,6,N/A,18,3,6,7,7,7,7,N/A,21,3,7,5,5,6,5,N/A,16,3,5.3333,10,0,0,0,N/A,0,3,0,12,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,6,7,6,N/A,19,3,6.3333,6,6,5,6,N/A,17,3,5.6667,11,8,8,8,N/A,24,3,8,5,8,7,7,N/A,22,3,7.3333,6,7,8,7,N/A,22,3,7.3333,6,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,6,5,5,N/A,16,3,5.3333,11,7,6,7,N/A,20,3,6.6667,6,7,6,7,N/A,20,3,6.6667,8,7,5,7,N/A,19,3,6.3333,8,6,7,7,N/A,20,3,6.6667,8,7,7,8,N/A,22,3,7.3333,6,7,7,7,N/A,21,3,7,7,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,5,4,5,N/A,14,3,4.6667,12,7,6,7,N/A,20,3,6.6667,6,8,8,7,N/A,23,3,7.6667,6,9,8,8,N/A,25,3,8.3333,4,7,7,7,N/A,21,3,7,7,6,6,6,N/A,18,3,6,7,8,8,8,N/A,24,3,8,6,9,8,9,N/A,26,3,8.6667,3,7.5,8,7.5,N/A,23,3,7.6667,5,8,8,8,N/A,24,3,8,4,0,0,0,N/A,0,3,0,4
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,8,8,7,N/A,23,3,7.6667,2,8,8,8,N/A,24,3,8,3,9,9,9,N/A,27,3,9,1,8,8,9,N/A,25,3,8.3333,4,9,8,9,N/A,26,3,8.6667,2,8,9,9,N/A,26,3,8.6667,3,9,9,10,N/A,28,3,9.3333,2,9,8,9,N/A,26,3,8.6667,3,9.5,9,9.5,N/A,28,3,9.3333,2,9.5,9,9.5,N/A,28,3,9.3333,2,10,10,10,N/A,30,3,10,1
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,5,4,4,N/A,13,3,4.3333,13,6,5,6,N/A,17,3,5.6667,11,4,3,3,N/A,10,3,3.3333,12,4,4,4,N/A,12,3,4,11,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,6,6,5,N/A,17,3,5.6667,9,6,6,6,N/A,18,3,6,9,0,0,0,N/A,0,3,0,13,0,0,0,N/A,0,3,0,12,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,6,7,7,N/A,20,3,6.6667,5,6,7,7,N/A,20,3,6.6667,6,8,7,8,N/A,23,3,7.6667,6,8,7,7,N/A,22,3,7.3333,6,7,8,8,N/A,23,3,7.6667,5,8,7,8,N/A,23,3,7.6667,5,9,9,9,N/A,27,3,9,3,8.5,8.5,8.5,N/A,25.5,3,8.5,5,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,7,7,7,N/A,21,3,7,4,8,7,8,N/A,23,3,7.6667,4,8,8,9,N/A,25,3,8.3333,4,9,8,10,N/A,27,3,9,3,9,8,9,N/A,26,3,8.6667,2,10,8,10,N/A,28,3,9.3333,1,9,8,9,N/A,26,3,8.6667,5,9,9,10,N/A,28,3,9.3333,1,8.5,9,8.5,N/A,26,3,8.6667,4,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4
Steve-O,Lacey Schwimmer,TV Personality,England,England,34,8,Eliminated Week 6,8,6,5,6,N/A,17,3,5.6667,9,5,4,5,N/A,14,3,4.6667,13,5,5,5,N/A,15,3,5,11,5,5,5,N/A,15,3,5,10,6,6,6,N/A,18,3,6,9,7,4,5,N/A,16,3,5.3333,8,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,6,6,6,N/A,18,3,6,7,6,6,6,N/A,18,3,6,9,5,6,6,N/A,17,3,5.6667,9,5,6,5,N/A,16,3,5.3333,9,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,8,7,8,N/A,23,3,7.6667,2,9,8,9,N/A,26,3,8.6667,2,9,9,9,N/A,27,3,9,1,10,9,10,N/A,29,3,9.6667,2,8,8,9,N/A,25,3,8.3333,4,9,9,9,N/A,27,3,9,2,10,9,10,N/A,29,3,9.6667,1,7.5,7.5,8,N/A,23,3,7.6667,6,9.5,9.5,9.5,N/A,28.5,3,9.5,1,9,9.5,9,N/A,27.5,3,9.1667,3,9.5,9.5,9.5,N/A,28.5,3,9.5,3
