celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_judge_score_sum,week1_judge_count,week1_judge_score_avg,week1_judge_score_avg_rank,week2_judge_score_sum,week2_judge_count,week2_judge_score_avg,week2_judge_score_avg_rank,week3_judge_score_sum,week3_judge_count,week3_judge_score_avg,week3_judge_score_avg_rank,week4_judge_score_sum,week4_judge_count,week4_judge_score_avg,week4_judge_score_avg_rank,week5_judge_score_sum,week5_judge_count,week5_judge_score_avg,week5_judge_score_avg_rank,week6_judge_score_sum,week6_judge_count,week6_judge_score_avg,week6_judge_score_avg_rank,week7_judge_score_sum,week7_judge_count,week7_judge_score_avg,week7_judge_score_avg_rank,week8_judge_score_sum,week8_judge_count,week8_judge_score_avg,week8_judge_score_avg_rank,week9_judge_score_sum,week9_judge_count,week9_judge_score_avg,week9_judge_score_avg_rank,week10_judge_score_sum,week10_judge_count,week10_judge_score_avg,week10_judge_score_avg_rank,week11_judge_score_sum,week11_judge_count,week11_judge_score_avg,week11_judge_score_avg_rank
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,3,5.0,10,21.0,3,7.0,6,24.0,3,8.0,1,16.0,3,5.333333333333333,7,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,9.0,8.0,8.0,,8.5,8.5,8.5,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,21.0,3,7.0,5,21.0,3,7.0,5,23.0,3,7.666666666666667,7,27.0,3,9.0,2,26.0,3,8.666666666666666,3,25.0,3,8.333333333333334,4,25.5,3,8.5,5,25.5,3,8.5,3,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8.0,8.0,8.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,8.0,9.0,9.0,,8.0,7.0,7.0,,8.0,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,24.0,3,8.0,3,21.0,3,7.0,5,27.0,3,9.0,1,26.0,3,8.666666666666666,5,26.0,3,8.666666666666666,3,22.0,3,7.333333333333333,7,25.0,3,8.333333333333334,6,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,26.0,3,8.666666666666666,1,26.0,3,8.666666666666666,2,27.0,3,9.0,1,30.0,3,10.0,1,28.0,3,9.333333333333334,2,25.0,3,8.333333333333334,4,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,8.0,9.0,,8.0,10.0,9.0,,8.0,9.0,8.0,,9.0,9.0,9.0,,8.5,8.5,9.5,,8.5,8.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,21.0,3,7.0,5,21.0,3,7.0,5,26.0,3,8.666666666666666,4,27.0,3,9.0,2,25.0,3,8.333333333333334,5,27.0,3,9.0,3,26.5,3,8.833333333333334,2,25.0,3,8.333333333333334,4,29.0,3,9.666666666666666,3,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,3,6.0,11,21.0,3,7.0,5,21.0,3,7.0,8,23.0,3,7.666666666666667,8,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,3,5.333333333333333,12,0.0,3,0.0,12,0.0,3,0.0,11,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7.0,7.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,21.0,3,7.0,5,21.0,3,7.0,5,0.0,3,0.0,11,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,8.0,9.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.0,8.0,,9.0,10.0,9.0,,9.0,8.5,8.5,,9.5,9.5,9.5,,10.0,10.0,10.0,,9.0,9.3333,9.6666,,,,,,25.0,3,8.333333333333334,2,27.0,3,9.0,1,24.0,3,8.0,6,27.0,3,9.0,2,23.0,3,7.666666666666667,6,28.0,3,9.333333333333334,2,26.0,3,8.666666666666666,3,28.5,3,9.5,1,30.0,3,10.0,1,27.999900000000004,3,9.333300000000001,2,N/A,N/A,N/A,N/A
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,8.0,8.0,8.0,,7.0,8.0,8.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,9.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.0,,9.0,9.5,9.5,,10.0,10.0,10.0,,9.3333,9.3333,9.6666,,,,,,24.0,3,8.0,3,23.0,3,7.666666666666667,4,27.0,3,9.0,1,26.0,3,8.666666666666666,5,29.0,3,9.666666666666666,1,30.0,3,10.0,1,27.0,3,9.0,1,28.0,3,9.333333333333334,2,30.0,3,10.0,1,28.333199999999998,3,9.4444,1,N/A,N/A,N/A,N/A
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6.0,7.0,6.0,,5.0,5.0,5.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,3,6.333333333333333,10,15.0,3,5.0,11,18.0,3,6.0,10,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,7.0,7.0,7.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,9.0,8.0,,7.0,7.0,7.0,,8.0,8.0,7.0,,9.0,8.5,8.5,,8.0,8.5,8.0,,9.5,9.5,9.0,,8.0,7.5,7.5,,,,,,21.0,3,7.0,5,24.0,3,8.0,3,26.0,3,8.666666666666666,4,26.0,3,8.666666666666666,5,21.0,3,7.0,7,23.0,3,7.666666666666667,6,26.0,3,8.666666666666666,3,24.5,3,8.166666666666666,5,28.0,3,9.333333333333334,4,23.0,3,7.666666666666667,3,N/A,N/A,N/A,N/A
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,7.0,7.0,7.0,,6.0,6.0,6.0,,6.0,7.0,7.0,,7.0,8.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,21.0,3,7.0,5,18.0,3,6.0,10,20.0,3,6.666666666666667,9,22.0,3,7.333333333333333,9,21.0,3,7.0,7,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,7.0,7.0,7.0,,7.0,6.0,7.0,,8.0,8.0,9.0,,9.0,8.0,9.0,,7.0,8.0,8.0,,9.0,9.0,9.0,,7.5,7.5,8.0,,10.0,9.0,9.5,,9.5,9.0,9.5,,9.0,8.0,9.0,,,,,,21.0,3,7.0,6,20.0,3,6.666666666666667,8,25.0,3,8.333333333333334,3,26.0,3,8.666666666666666,4,23.0,3,7.666666666666667,5,27.0,3,9.0,3,23.0,3,7.666666666666667,6,28.5,3,9.5,1,28.0,3,9.333333333333334,2,26.0,3,8.666666666666666,3,N/A,N/A,N/A,N/A
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6.0,6.0,6.0,,6.0,5.0,5.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,3,6.0,8,16.0,3,5.333333333333333,11,21.0,3,7.0,6,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,8.0,8.0,8.0,,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,24.0,3,8.0,2,21.0,3,7.0,6,26.0,3,8.666666666666666,2,22.0,3,7.333333333333333,8,21.0,3,7.0,8,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.0,3,7.333333333333333,4,24.0,3,8.0,4,21.0,3,7.0,6,24.0,3,8.0,5,22.0,3,7.333333333333333,7,21.0,3,7.0,7,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,10.0,9.0,,8.0,8.0,7.0,,8.0,8.0,8.0,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,21.0,3,7.0,6,24.0,3,8.0,4,24.0,3,8.0,4,28.0,3,9.333333333333334,3,23.0,3,7.666666666666667,5,24.0,3,8.0,5,25.5,3,8.5,4,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,6.0,6.0,6.0,,7.0,7.0,7.0,,6.0,7.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.5,8.5,,8.5,8.0,8.5,,8.5,9.0,8.5,,0.0,0.0,0.0,,,,,,18.0,3,6.0,8,21.0,3,7.0,6,19.0,3,6.333333333333333,10,24.0,3,8.0,5,24.0,3,8.0,4,26.0,3,8.666666666666666,4,26.0,3,8.666666666666666,3,25.0,3,8.333333333333334,5,26.0,3,8.666666666666666,4,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,7.0,8.0,7.0,,9.0,9.0,9.0,,8.0,7.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.5,8.5,9.5,,9.0,8.0,9.0,,9.0,9.5,9.0,,9.5,9.5,9.5,,,,,,22.0,3,7.333333333333333,4,27.0,3,9.0,1,23.0,3,7.666666666666667,5,29.0,3,9.666666666666666,1,27.0,3,9.0,2,24.0,3,8.0,5,27.5,3,9.166666666666666,1,26.0,3,8.666666666666666,4,27.5,3,9.166666666666666,3,28.5,3,9.5,2,N/A,N/A,N/A,N/A
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,10.0,9.0,10.0,,9.0,10.0,10.0,,10.0,10.0,10.0,,9.5,8.0,9.5,,8.5,9.5,9.5,,9.5,9.0,10.0,,10.0,10.0,10.0,,,,,,27.0,3,9.0,1,27.0,3,9.0,1,27.0,3,9.0,1,29.0,3,9.666666666666666,1,29.0,3,9.666666666666666,1,30.0,3,10.0,1,27.0,3,9.0,2,27.5,3,9.166666666666666,2,28.5,3,9.5,1,30.0,3,10.0,1,N/A,N/A,N/A,N/A
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,5.0,5.0,5.0,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,3,5.0,11,15.0,3,5.0,12,0.0,3,0.0,11,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5.0,6.0,5.0,,6.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,3,5.333333333333333,10,17.0,3,5.666666666666667,10,0.0,3,0.0,11,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5.0,5.0,5.0,,6.0,7.0,6.0,,7.0,7.0,7.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,3,5.0,11,19.0,3,6.333333333333333,9,21.0,3,7.0,6,19.0,3,6.333333333333333,9,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8.0,8.0,8.0,,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,7.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,8.5,8.5,8.5,,9.0,8.5,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,24.0,3,8.0,2,26.0,3,8.666666666666666,3,21.0,3,7.0,6,24.0,3,8.0,5,27.0,3,9.0,2,28.0,3,9.333333333333334,2,25.5,3,8.5,4,26.5,3,8.833333333333334,3,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6.0,6.0,6.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.5,3,6.166666666666667,8,0.0,3,0.0,12,0.0,3,0.0,10,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6.0,5.0,5.0,,5.0,5.0,5.0,,6.0,5.0,5.0,,8.0,7.0,7.0,,7.0,7.0,7.0,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,3,5.333333333333333,12,15.0,3,5.0,11,16.0,3,5.333333333333333,9,22.0,3,7.333333333333333,5,21.0,3,7.0,7,15.0,3,5.0,7,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6.0,6.0,6.5,,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,7.0,7.0,8.0,,8.0,8.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.5,3,6.166666666666667,8,21.0,3,7.0,4,21.0,3,7.0,6,24.0,3,8.0,3,22.0,3,7.333333333333333,5,23.0,3,7.666666666666667,4,24.0,3,8.0,4,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7.0,6.5,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,7.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.5,7.5,,0.0,0.0,0.0,,,,,,20.5,3,6.833333333333333,6,21.0,3,7.0,4,21.0,3,7.0,6,23.0,3,7.666666666666667,4,28.0,3,9.333333333333334,2,23.0,3,7.666666666666667,4,22.0,3,7.333333333333333,5,24.0,3,8.0,4,23.0,3,7.666666666666667,4,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6.5,7.5,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,21.0,3,7.0,5,21.0,3,7.0,4,0.0,3,0.0,10,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,,7.0,6.0,6.0,,8.0,8.0,8.0,,6.0,7.0,7.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.5,3,6.5,7,19.0,3,6.333333333333333,8,24.0,3,8.0,3,20.0,3,6.666666666666667,8,27.0,3,9.0,3,21.0,3,7.0,6,25.0,3,8.333333333333334,2,24.0,3,8.0,4,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7.0,7.0,7.5,,8.0,8.0,8.0,,9.0,8.0,8.0,,8.0,7.0,7.0,,8.0,8.0,9.0,,8.0,9.0,8.0,,7.0,7.0,7.0,,9.5,8.5,9.0,,8.5,8.0,8.0,,9.0,9.5,9.0,,,,,,21.5,3,7.166666666666667,3,24.0,3,8.0,1,25.0,3,8.333333333333334,2,22.0,3,7.333333333333333,5,25.0,3,8.333333333333334,4,25.0,3,8.333333333333334,3,21.0,3,7.0,6,27.0,3,9.0,2,24.5,3,8.166666666666666,2,27.5,3,9.166666666666666,2,N/A,N/A,N/A,N/A
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,12.0,3,4.0,13,0.0,3,0.0,12,0.0,3,0.0,10,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7.5,7.0,8.0,,7.0,8.0,8.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.5,3,7.5,2,23.0,3,7.666666666666667,3,22.0,3,7.333333333333333,4,22.0,3,7.333333333333333,5,22.0,3,7.333333333333333,5,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7.5,6.0,8.0,,7.0,6.0,7.0,,8.0,7.0,7.0,,9.0,8.0,9.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,9.0,7.0,9.0,,8.5,7.5,9.0,,10.0,9.0,9.5,,9.0,9.0,9.5,,,,,,21.5,3,7.166666666666667,3,20.0,3,6.666666666666667,7,22.0,3,7.333333333333333,4,26.0,3,8.666666666666666,1,21.0,3,7.0,7,27.0,3,9.0,1,25.0,3,8.333333333333334,2,25.0,3,8.333333333333334,3,28.5,3,9.5,1,27.5,3,9.166666666666666,2,N/A,N/A,N/A,N/A
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,6.0,6.5,6.0,,6.0,6.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.5,3,6.166666666666667,8,17.0,3,5.666666666666667,9,0.0,3,0.0,10,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,6.0,5.5,6.0,,5.0,6.0,5.0,,7.0,7.0,6.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,17.5,3,5.833333333333333,11,16.0,3,5.333333333333333,10,20.0,3,6.666666666666667,8,18.0,3,6.0,9,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8.0,8.0,8.5,,8.0,8.0,8.0,,9.0,10.0,9.0,,9.0,8.0,9.0,,10.0,9.0,10.0,,8.0,10.0,8.0,,10.0,10.0,10.0,,9.5,8.5,9.5,,8.0,8.5,8.0,,10.0,10.0,10.0,,,,,,24.5,3,8.166666666666666,1,24.0,3,8.0,1,28.0,3,9.333333333333334,1,26.0,3,8.666666666666666,1,29.0,3,9.666666666666666,1,26.0,3,8.666666666666666,2,30.0,3,10.0,1,27.5,3,9.166666666666666,1,24.5,3,8.166666666666666,2,30.0,3,10.0,1,N/A,N/A,N/A,N/A
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,9.0,10.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.5,,9.5,9.0,9.5,,10.0,10.0,10.0,,9.5,10.0,9.5,,24.0,3,8.0,1,27.0,3,9.0,1,27.0,3,9.0,1,30.0,3,10.0,1,29.0,3,9.666666666666666,1,26.0,3,8.666666666666666,3,27.0,3,9.0,3,27.5,3,9.166666666666666,2,28.0,3,9.333333333333334,2,30.0,3,10.0,1,29.0,3,9.666666666666666,2
