season,week,n_to_eliminate,actual_eliminated,predicted_eliminated,prediction_status,correct_count,total_eliminated_actual,actual_eliminated_list,predicted_eliminated_list,roster_size,actual_survivors_count,predicted_survivors_count,intersection_count,survival_accuracy
26,1,2,"Johnny Damon, Jamie Anderson","Kareem Abdul-Jabbar, Johnny Damon",1/2,1,2,"['Johnny Damon', 'Jamie Anderson']","['Kareem Abdul-Jabbar', 'Johnny Damon']",10,8,8,7,0.875
26,2,2,"Kareem Abdul-Jabbar, Arike Ogunbowale","Kareem Abdul-Jabbar, Jennie Finch Daigle",1/2,1,2,"['Kareem Abdul-Jabbar', 'Arike Ogunbowale']","['Kareem Abdul-Jabbar', 'Jennie Finch Daigle']",8,6,6,5,0.8333333333333334
26,3,3,"Jennie Finch Daigle, Chris Mazdzer, Mirai Nagasu","Jennie Finch Daigle, Chris Mazdzer, Mirai Nagasu",3/3,3,3,"['Jennie Finch Daigle', 'Chris Mazdzer', 'Mirai Nagasu']","['Jennie Finch Daigle', 'Chris Mazdzer', 'Mirai Nagasu']",6,3,3,3,1.0
27,1,1,Nikki Glaser,Joe Amabile,0/1,0,1,['Nikki Glaser'],['Joe Amabile'],13,12,12,11,0.9166666666666666
27,2,1,Danelle Umstead,Danelle Umstead,1/1,1,1,['Danelle Umstead'],['Danelle Umstead'],12,11,11,11,1.0
27,3,1,Nancy McKeon,Joe Amabile,0/1,0,1,['Nancy McKeon'],['Joe Amabile'],11,10,10,9,0.9
27,4,1,Tinashe,Joe Amabile,0/1,0,1,['Tinashe'],['Joe Amabile'],10,9,9,8,0.8888888888888888
27,6,1,Mary Lou Retton,John Schneider,0/1,0,1,['Mary Lou Retton'],['John Schneider'],9,8,8,7,0.875
27,7,2,"DeMarcus Ware, John Schneider","Joe Amabile, DeMarcus Ware",1/2,1,2,"['DeMarcus Ware', 'John Schneider']","['Joe Amabile', 'DeMarcus Ware']",8,6,6,5,0.8333333333333334
27,8,2,"Joe Amabile, Juan Pablo Di Pace","Joe Amabile, Bobby Bones",1/2,1,2,"['Joe Amabile', 'Juan Pablo Di Pace']","['Joe Amabile', 'Bobby Bones']",6,4,4,3,0.75
28,2,2,"Ray Lewis, Mary Wilson","Lamar Odom, Ray Lewis",1/2,1,2,"['Ray Lewis', 'Mary Wilson']","['Lamar Odom', 'Ray Lewis']",12,10,10,9,0.9
28,4,1,Lamar Odom,Lamar Odom,1/1,1,1,['Lamar Odom'],['Lamar Odom'],10,9,9,9,1.0
28,6,1,Sailor Brinkley-Cook,Sean Spicer,0/1,0,1,['Sailor Brinkley-Cook'],['Sean Spicer'],9,8,8,7,0.875
28,7,1,Karamo Brown,Sean Spicer,0/1,0,1,['Karamo Brown'],['Sean Spicer'],8,7,7,6,0.8571428571428571
28,8,1,Kate Flannery,Sean Spicer,0/1,0,1,['Kate Flannery'],['Sean Spicer'],7,6,6,5,0.8333333333333334
28,9,1,Sean Spicer,Sean Spicer,1/1,1,1,['Sean Spicer'],['Sean Spicer'],6,5,5,5,1.0
28,10,1,James Van Der Beek,James Van Der Beek,1/1,1,1,['James Van Der Beek'],['James Van Der Beek'],5,4,4,4,1.0
29,2,1,Charles Oakley,Charles Oakley,1/1,1,1,['Charles Oakley'],['Charles Oakley'],15,14,14,14,1.0
29,3,1,Carole Baskin,Carole Baskin,1/1,1,1,['Carole Baskin'],['Carole Baskin'],14,13,13,13,1.0
29,4,1,Anne Heche,Anne Heche,1/1,1,1,['Anne Heche'],['Anne Heche'],13,12,12,12,1.0
29,5,1,Jesse Metcalfe,Jesse Metcalfe,1/1,1,1,['Jesse Metcalfe'],['Jesse Metcalfe'],12,11,11,11,1.0
29,6,1,Veron Davis,Skai Jackson,0/1,0,1,['Veron Davis'],['Skai Jackson'],11,10,10,9,0.9
29,7,2,"Monica Aldama, Jeannie Mai","Monica Aldama, Kaitlyn Bristowe",1/2,1,2,"['Monica Aldama', 'Jeannie Mai']","['Monica Aldama', 'Kaitlyn Bristowe']",10,8,8,7,0.875
29,8,1,Chrishell Stause,Nelly,0/1,0,1,['Chrishell Stause'],['Nelly'],8,7,7,6,0.8571428571428571
29,9,1,AJ McLean,AJ McLean,1/1,1,1,['AJ McLean'],['AJ McLean'],7,6,6,6,1.0
29,10,2,"Johnny Weir, Skai Jackson","Johnny Weir, Nelly",1/2,1,2,"['Johnny Weir', 'Skai Jackson']","['Johnny Weir', 'Nelly']",6,4,4,3,0.75
30,2,1,Martin Kove,Martin Kove,1/1,1,1,['Martin Kove'],['Martin Kove'],15,14,14,14,1.0
30,3,1,Christine Chiu,Brian Austin Green,0/1,0,1,['Christine Chiu'],['Brian Austin Green'],14,13,13,12,0.9230769230769231
30,4,2,"Brian Austin Green, Matt James","Brian Austin Green, Kenya Moore",1/2,1,2,"['Brian Austin Green', 'Matt James']","['Brian Austin Green', 'Kenya Moore']",13,11,11,10,0.9090909090909091
30,5,1,Melanie C,Iman Shumpert,0/1,0,1,['Melanie C'],['Iman Shumpert'],11,10,10,9,0.9
30,6,1,Kenya Moore,Kenya Moore,1/1,1,1,['Kenya Moore'],['Kenya Moore'],10,9,9,9,1.0
30,7,1,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",1/1,1,1,"['Mike ""The Miz"" Mizanin']","['Mike ""The Miz"" Mizanin']",9,8,8,8,1.0
30,8,2,"Jimmie Allen, Olivia Jade","Jimmie Allen, Olivia Jade",2/2,2,2,"['Jimmie Allen', 'Olivia Jade']","['Jimmie Allen', 'Olivia Jade']",8,6,6,6,1.0
30,9,2,"Melora Hardin, Suni Lee","Melora Hardin, Cody Rigsby",1/2,1,2,"['Melora Hardin', 'Suni Lee']","['Melora Hardin', 'Cody Rigsby']",6,4,4,3,0.75
31,1,1,Jason Lewis,Jason Lewis,1/1,1,1,['Jason Lewis'],['Jason Lewis'],16,15,15,15,1.0
31,2,1,Teresa Giudice,Cheryl Ladd,0/1,0,1,['Teresa Giudice'],['Cheryl Ladd'],15,14,14,13,0.9285714285714286
31,3,1,Cheryl Ladd,Cheryl Ladd,1/1,1,1,['Cheryl Ladd'],['Cheryl Ladd'],14,13,13,13,1.0
31,4,1,Sam Champion,Sam Champion,1/1,1,1,['Sam Champion'],['Sam Champion'],13,12,12,12,1.0
31,5,2,"Joseph Baena, Selma Blair","Vinny Guadagnino, Daniel Durant",0/2,0,2,"['Joseph Baena', 'Selma Blair']","['Vinny Guadagnino', 'Daniel Durant']",12,10,10,8,0.8
31,6,1,Jessie James Decker,Vinny Guadagnino,0/1,0,1,['Jessie James Decker'],['Vinny Guadagnino'],10,9,9,8,0.8888888888888888
31,7,1,Jordin Sparks,Vinny Guadagnino,0/1,0,1,['Jordin Sparks'],['Vinny Guadagnino'],9,8,8,7,0.875
31,8,2,"Vinny Guadagnino, Heidi D'Amelio","Vinny Guadagnino, Heidi D'Amelio",2/2,2,2,"['Vinny Guadagnino', ""Heidi D'Amelio""]","['Vinny Guadagnino', ""Heidi D'Amelio""]",8,6,6,6,1.0
31,9,2,"Trevor Donovan, Daniel Durant","Trevor Donovan, Daniel Durant",2/2,2,2,"['Trevor Donovan', 'Daniel Durant']","['Trevor Donovan', 'Daniel Durant']",6,4,4,4,1.0
32,1,1,Matt Walsh,Matt Walsh,1/1,1,1,['Matt Walsh'],['Matt Walsh'],14,13,13,13,1.0
32,2,1,Jamie Lynn Spears,Mauricio Umansky,0/1,0,1,['Jamie Lynn Spears'],['Mauricio Umansky'],13,12,12,11,0.9166666666666666
32,3,1,Tyson Beckford,Tyson Beckford,1/1,1,1,['Tyson Beckford'],['Tyson Beckford'],12,11,11,11,1.0
32,4,1,Adrian Peterson,Barry Williams,0/1,0,1,['Adrian Peterson'],['Barry Williams'],11,10,10,9,0.9
32,5,1,Mira Sorvino,Harry Jowsey,0/1,0,1,['Mira Sorvino'],['Harry Jowsey'],10,9,9,8,0.8888888888888888
32,6,1,Mauricio Umansky,Harry Jowsey,0/1,0,1,['Mauricio Umansky'],['Harry Jowsey'],9,8,8,7,0.875
32,7,1,Lele Pons,Barry Williams,0/1,0,1,['Lele Pons'],['Barry Williams'],8,7,7,6,0.8571428571428571
32,8,1,Barry Williams,Harry Jowsey,0/1,0,1,['Barry Williams'],['Harry Jowsey'],7,6,6,5,0.8333333333333334
32,9,1,Harry Jowsey,Harry Jowsey,1/1,1,1,['Harry Jowsey'],['Harry Jowsey'],6,5,5,5,1.0
33,2,2,"Anna Delvey, Tori Spelling","Eric Roberts, Reginald VelJohnson",0/2,0,2,"['Anna Delvey', 'Tori Spelling']","['Eric Roberts', 'Reginald VelJohnson']",13,11,11,9,0.8181818181818182
33,3,2,"Reginald VelJohnson, Eric Roberts","Reginald VelJohnson, Eric Roberts",2/2,2,2,"['Reginald VelJohnson', 'Eric Roberts']","['Reginald VelJohnson', 'Eric Roberts']",11,9,9,9,1.0
33,4,1,Brooks Nader,Dwight Howard,0/1,0,1,['Brooks Nader'],['Dwight Howard'],9,8,8,7,0.875
33,5,1,Phaedra Parks,Phaedra Parks,1/1,1,1,['Phaedra Parks'],['Phaedra Parks'],8,7,7,7,1.0
33,6,1,Jenn Tran,Ilona Maher,0/1,0,1,['Jenn Tran'],['Ilona Maher'],7,6,6,5,0.8333333333333334
33,7,1,Dwight Howard,Dwight Howard,1/1,1,1,['Dwight Howard'],['Dwight Howard'],6,5,5,5,1.0
34,2,2,"Corey Feldman, Baron Davis","Corey Feldman, Baron Davis",2/2,2,2,"['Corey Feldman', 'Baron Davis']","['Corey Feldman', 'Baron Davis']",14,12,12,12,1.0
34,3,1,Lauren Jauregui,Lauren Jauregui,1/1,1,1,['Lauren Jauregui'],['Lauren Jauregui'],12,11,11,11,1.0
34,4,1,Hilaria Baldwin,Andy Richter,0/1,0,1,['Hilaria Baldwin'],['Andy Richter'],11,10,10,9,0.9
34,6,1,Scott Hoying,Scott Hoying,1/1,1,1,['Scott Hoying'],['Scott Hoying'],10,9,9,9,1.0
34,7,1,Jen Affleck,Andy Richter,0/1,0,1,['Jen Affleck'],['Andy Richter'],9,8,8,7,0.875
34,8,1,Danielle Fishel,Andy Richter,0/1,0,1,['Danielle Fishel'],['Andy Richter'],8,7,7,6,0.8571428571428571
34,9,1,Andy Richter,Andy Richter,1/1,1,1,['Andy Richter'],['Andy Richter'],7,6,6,6,1.0
34,10,1,Whitney Leavitt,Dylan Efron,0/1,0,1,['Whitney Leavitt'],['Dylan Efron'],6,5,5,4,0.8
